selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Company
575000,2018,1,30000,0,0,21.21,1197.0,81.8,5.0,Maruti
545000,2018,1,50000,1,0,24.0,1186.0,73.97,5.0,Hyundai
525000,2017,Trustmark Dealer,19093,0,0,18.16,1196.0,86.8,5.0,Ford
400000,2014,1,50000,0,0,18.0,1198.0,86.7,5.0,Honda
155000,2006,0,37000,0,0,14.0,1061.0,64.0,5.0,Maruti
540000,2019,1,3888,1,0,23.5,909.0,45.0,8.0,Mahindra
545000,2016,0,47000,1,0,26.59,1248.0,74.0,5.0,Maruti
545000,2013,1,70000,0,0,16.8,1497.0,116.3,5.0,Honda
240000,2016,1,25000,0,0,25.17,799.0,53.3,5.0,Renault
725000,2018,0,26000,1,0,24.3,1248.0,88.5,5.0,Maruti
480000,2017,1,30000,0,0,18.16,1196.0,86.8,5.0,Ford
375000,2013,1,15000,0,0,18.5,1197.0,82.9,5.0,Hyundai
225000,2011,1,160000,1,0,17.8,1248.0,75.0,5.0,Maruti
400000,2017,1,32100,0,0,23.84,1199.0,84.0,5.0,Tata
550000,2016,0,22000,0,0,18.5,1197.0,82.9,5.0,Hyundai
1050000,2016,0,44000,1,0,15.4,2179.0,120.0,7.0,Mahindra
450000,2016,0,78000,0,0,18.78,1198.0,74.0,5.0,Volkswagen
775000,2012,0,74352,0,1,11.74,1796.0,186.0,5.0,Mercedes-Benz
350000,2014,1,37000,0,0,20.51,998.0,67.04,5.0,Maruti
550000,2014,0,69000,1,0,25.1,1498.0,98.6,5.0,Honda
1080000,2019,1,12120,0,0,16.8,1497.0,113.4,5.0,others
575000,2016,0,52000,0,0,21.01,1197.0,81.8,5.0,Maruti
950000,2016,1,120000,1,0,12.99,2494.0,100.6,8.0,Toyota
229999,2013,1,55000,0,0,22.74,796.0,47.3,5.0,Maruti
270000,2011,1,160000,1,0,21.9,1396.0,90.0,5.0,Hyundai
165000,2012,0,42000,1,0,25.44,936.0,56.3,5.0,Chevrolet
130000,2011,1,40000,0,0,15.6,1196.0,70.0,5.0,Ford
370000,2012,0,46000,0,0,19.1,1197.0,85.8,5.0,Maruti
570000,2017,0,25000,0,0,21.4,1197.0,83.1,5.0,Maruti
390000,2015,1,240000,1,0,23.59,1364.0,67.05,5.0,Toyota
365000,2013,0,90000,1,0,22.07,1199.0,73.9,5.0,Volkswagen
280000,2012,0,49566,0,0,18.5,1197.0,82.85,5.0,Hyundai
1250000,2018,0,14000,1,1,22.0,1582.0,126.2,5.0,Hyundai
590000,2016,0,11000,0,0,18.6,1197.0,81.83,5.0,Hyundai
475000,2018,1,5000,0,1,23.1,998.0,67.04,5.0,Maruti
685000,2017,0,55000,1,0,23.0,1498.0,98.96,5.0,Ford
380000,2012,0,65000,1,1,19.08,1582.0,126.32,5.0,Hyundai
330000,2018,1,22000,0,0,23.01,999.0,67.0,5.0,Renault
650000,2018,Trustmark Dealer,7671,0,0,21.01,1197.0,81.8,5.0,Maruti
325000,2016,1,66000,0,0,20.51,998.0,67.04,5.0,Maruti
640000,2018,0,45156,0,1,21.21,1197.0,81.8,5.0,Maruti
949000,2019,1,25000,0,0,18.27,998.0,118.35,5.0,Hyundai
750000,2015,1,70000,1,0,20.45,1461.0,83.8,5.0,Nissan
660000,2015,1,120000,1,0,23.9,1582.0,126.2,5.0,Hyundai
434999,2014,0,28000,0,0,16.1,1197.0,85.0,5.0,Maruti
385000,2013,0,55000,1,0,21.9,1396.0,88.76,5.0,Hyundai
1000000,2011,1,104000,1,0,14.66,2199.0,194.3,7.0,Hyundai
1250000,2019,0,14000,1,1,22.0,1582.0,126.2,5.0,Hyundai
550000,2017,1,18000,0,0,20.14,1197.0,81.86,5.0,Hyundai
155000,2009,0,98780,0,0,18.9,998.0,67.1,5.0,Maruti
415000,2015,0,58000,1,0,25.2,1248.0,74.0,5.0,Maruti
250999,2011,1,30000,0,0,20.92,998.0,67.1,5.0,Maruti
1150000,2016,0,46400,1,0,15.4,2179.0,120.0,7.0,Mahindra
310000,2014,Trustmark Dealer,32111,0,0,19.81,1086.0,68.05,5.0,Hyundai
350000,2015,1,35000,0,0,19.44,1198.0,67.0,7.0,others
1125000,2017,0,30000,1,0,15.4,1997.0,120.0,7.0,Mahindra
2600000,2016,0,63000,1,1,18.59,2993.0,261.49,5.0,BMW
200000,2017,1,43890,0,0,17.8,1199.0,76.8,5.0,Chevrolet
480000,2018,1,10000,0,0,20.62,1198.0,67.0,7.0,others
850000,2017,1,25000,1,1,28.4,1248.0,74.02,5.0,Maruti
1100000,2017,0,102000,1,1,17.01,1582.0,126.2,5.0,Hyundai
575000,2018,0,35000,0,0,22.0,1197.0,81.8,5.0,Maruti
160000,2007,1,54000,0,0,19.63826453243471,999.0,74.34109969352802,5.0,Hyundai
340000,2012,0,49948,0,0,17.5,1298.0,85.8,5.0,Maruti
559000,2018,1,114851,1,0,25.0,1396.0,69.01,5.0,Tata
925000,2018,1,55000,1,0,23.0,1498.0,98.96,5.0,Ford
